country,date,sector,value
India,05-02-2025,Industry,2.54953
India,05-02-2025,International Aviation,0.0174148
India,05-02-2025,Power,4.79301
India,05-02-2025,Residential,0.647353
Italy,05-02-2025,Domestic Aviation,0.00429079
Italy,05-02-2025,Ground Transport,0.274387
Italy,05-02-2025,Industry,0.20841
Italy,05-02-2025,International Aviation,0.0114282
Italy,05-02-2025,Power,0.291766
Italy,05-02-2025,Residential,0.361466
Japan,05-02-2025,Domestic Aviation,0.024118
Japan,05-02-2025,Ground Transport,0.519956
Japan,05-02-2025,Industry,0.682306
Japan,05-02-2025,International Aviation,0.0243896
Japan,05-02-2025,Power,1.27815
Japan,05-02-2025,Residential,0.695291
ROW,05-02-2025,Domestic Aviation,0.198404
ROW,05-02-2025,Ground Transport,6.88006
ROW,05-02-2025,Industry,11.3301
ROW,05-02-2025,International Aviation,1.17111
ROW,05-02-2025,Power,8.99678
ROW,05-02-2025,Residential,4.85363
Russia,05-02-2025,Domestic Aviation,0.0354048
Russia,05-02-2025,Ground Transport,0.542225
Russia,05-02-2025,Industry,0.970284
Russia,05-02-2025,International Aviation,0.00717628
Russia,05-02-2025,Power,3.06265
Russia,05-02-2025,Residential,0.850403
Spain,05-02-2025,Domestic Aviation,0.0150056
Spain,05-02-2025,Ground Transport,0.289351
Spain,05-02-2025,Industry,0.228505
Spain,05-02-2025,International Aviation,0.0198784
Spain,05-02-2025,Power,0.112683
Spain,05-02-2025,Residential,0.152
United Kingdom,05-02-2025,Domestic Aviation,0.00937804
United Kingdom,05-02-2025,Ground Transport,0.347228
United Kingdom,05-02-2025,Industry,0.22881
United Kingdom,05-02-2025,International Aviation,0.0340996
United Kingdom,05-02-2025,Power,0.242753
United Kingdom,05-02-2025,Residential,0.35432
United States,05-02-2025,Domestic Aviation,0.399198
United States,05-02-2025,Ground Transport,4.82067
United States,05-02-2025,Industry,2.88138
United States,05-02-2025,International Aviation,0.177884
United States,05-02-2025,Power,4.33618
United States,05-02-2025,Residential,2.27493
WORLD,05-02-2025,Domestic Aviation,0.991509
WORLD,05-02-2025,Ground Transport,18.9297
WORLD,05-02-2025,Industry,29.745
WORLD,05-02-2025,International Aviation,1.61544
WORLD,05-02-2025,Power,39.4083
WORLD,05-02-2025,Residential,16.2947
Brazil,06-02-2025,Domestic Aviation,0.033803
Brazil,06-02-2025,Ground Transport,0.464438
Brazil,06-02-2025,Industry,0.354482
Brazil,06-02-2025,International Aviation,0.00952567
Brazil,06-02-2025,Power,0.111823
Brazil,06-02-2025,Residential,0.109
China,06-02-2025,Domestic Aviation,0.235698
China,06-02-2025,Ground Transport,2.31225
China,06-02-2025,Industry,9.35476
China,06-02-2025,International Aviation,0.0495344
China,06-02-2025,Power,14.7592
China,06-02-2025,Residential,3.90524
EU27 & UK,06-02-2025,Domestic Aviation,0.0461262
EU27 & UK,06-02-2025,Ground Transport,2.71887
EU27 & UK,06-02-2025,Industry,2.01298
EU27 & UK,06-02-2025,International Aviation,0.170327
EU27 & UK,06-02-2025,Power,2.72991
EU27 & UK,06-02-2025,Residential,2.94826
France,06-02-2025,Domestic Aviation,0.00569069
France,06-02-2025,Ground Transport,0.355459
France,06-02-2025,Industry,0.252366
France,06-02-2025,International Aviation,0.0200438
France,06-02-2025,Power,0.120216
France,06-02-2025,Residential,0.375657
Germany,06-02-2025,Domestic Aviation,0.00549688
Germany,06-02-2025,Ground Transport,0.445893
Germany,06-02-2025,Industry,0.364148
Germany,06-02-2025,International Aviation,0.0273266
Germany,06-02-2025,Power,0.84949
Germany,06-02-2025,Residential,0.698561
India,06-02-2025,Domestic Aviation,0.0228779
India,06-02-2025,Ground Transport,0.822668
India,06-02-2025,Industry,2.50736
India,06-02-2025,International Aviation,0.0163526
India,06-02-2025,Power,4.71373
India,06-02-2025,Residential,0.739706
Italy,06-02-2025,Domestic Aviation,0.00499405
Italy,06-02-2025,Ground Transport,0.277262
Italy,06-02-2025,Industry,0.0494437
Italy,06-02-2025,International Aviation,0.0125373
Italy,06-02-2025,Power,0.0692191
Italy,06-02-2025,Residential,0.360787
Japan,06-02-2025,Domestic Aviation,0.0250824
Japan,06-02-2025,Ground Transport,0.521952
Japan,06-02-2025,Industry,0.701851
Japan,06-02-2025,International Aviation,0.0254894
Japan,06-02-2025,Power,1.31476
Japan,06-02-2025,Residential,0.688115
ROW,06-02-2025,Domestic Aviation,0.202185
ROW,06-02-2025,Ground Transport,6.94557
ROW,06-02-2025,Industry,11.3368
ROW,06-02-2025,International Aviation,1.20678
ROW,06-02-2025,Power,9.21166
ROW,06-02-2025,Residential,4.98655
Russia,06-02-2025,Domestic Aviation,0.0370393
Russia,06-02-2025,Ground Transport,0.670465
Russia,06-02-2025,Industry,0.96985
Russia,06-02-2025,International Aviation,0.00699164
Russia,06-02-2025,Power,3.06128
Russia,06-02-2025,Residential,0.859588
Spain,06-02-2025,Domestic Aviation,0.0171032
Spain,06-02-2025,Ground Transport,0.290885
Spain,06-02-2025,Industry,0.281486
Spain,06-02-2025,International Aviation,0.0211206
Spain,06-02-2025,Power,0.13881
Spain,06-02-2025,Residential,0.154019
United Kingdom,06-02-2025,Domestic Aviation,0.00973426
United Kingdom,06-02-2025,Ground Transport,0.347589
United Kingdom,06-02-2025,Industry,0.251507
United Kingdom,06-02-2025,International Aviation,0.0371358
United Kingdom,06-02-2025,Power,0.266833
United Kingdom,06-02-2025,Residential,0.370922
United States,06-02-2025,Domestic Aviation,0.411312
United States,06-02-2025,Ground Transport,4.83228
United States,06-02-2025,Industry,2.9954
United States,06-02-2025,International Aviation,0.1851
United States,06-02-2025,Power,4.50777
United States,06-02-2025,Residential,2.19824
WORLD,06-02-2025,Domestic Aviation,1.01412
WORLD,06-02-2025,Ground Transport,19.2885
WORLD,06-02-2025,Industry,30.2335
WORLD,06-02-2025,International Aviation,1.67011
WORLD,06-02-2025,Power,40.4102
WORLD,06-02-2025,Residential,16.4347
Brazil,07-02-2025,Domestic Aviation,0.0342044
Brazil,07-02-2025,Ground Transport,0.464815
Brazil,07-02-2025,Industry,0.353871
Brazil,07-02-2025,International Aviation,0.00994353
Brazil,07-02-2025,Power,0.11163
Brazil,07-02-2025,Residential,0.109
China,07-02-2025,Domestic Aviation,0.233654
China,07-02-2025,Ground Transport,2.33649
China,07-02-2025,Industry,9.41433
China,07-02-2025,International Aviation,0.0479789
China,07-02-2025,Power,14.8532
China,07-02-2025,Residential,4.17696
EU27 & UK,07-02-2025,Domestic Aviation,0.0490454
EU27 & UK,07-02-2025,Ground Transport,2.69783
EU27 & UK,07-02-2025,Industry,1.52802
EU27 & UK,07-02-2025,International Aviation,0.180366
EU27 & UK,07-02-2025,Power,2.07223
EU27 & UK,07-02-2025,Residential,2.96341
France,07-02-2025,Domestic Aviation,0.00628375
France,07-02-2025,Ground Transport,0.351437
France,07-02-2025,Industry,0.148775
France,07-02-2025,International Aviation,0.0209996
France,07-02-2025,Power,0.07087
France,07-02-2025,Residential,0.369254
Germany,07-02-2025,Domestic Aviation,0.00585846
Germany,07-02-2025,Ground Transport,0.43596
Germany,07-02-2025,Industry,0.307416
Germany,07-02-2025,International Aviation,0.0283118
Germany,07-02-2025,Power,0.717145
Germany,07-02-2025,Residential,0.699504
India,07-02-2025,Domestic Aviation,0.0230823
India,07-02-2025,Ground Transport,0.833618
India,07-02-2025,Industry,2.52696
India,07-02-2025,International Aviation,0.0175904
India,07-02-2025,Power,4.75059
India,07-02-2025,Residential,0.813776
Italy,07-02-2025,Domestic Aviation,0.00561901
Italy,07-02-2025,Ground Transport,0.275865
Italy,07-02-2025,Industry,0.0456201
Italy,07-02-2025,International Aviation,0.0137737
Italy,07-02-2025,Power,0.0638663
Italy,07-02-2025,Residential,0.36633
Japan,07-02-2025,Domestic Aviation,0.024006
Japan,07-02-2025,Ground Transport,0.521884
Japan,07-02-2025,Industry,0.642018
Japan,07-02-2025,International Aviation,0.0255482
Japan,07-02-2025,Power,1.20268
Japan,07-02-2025,Residential,0.69156
ROW,07-02-2025,Domestic Aviation,0.210053
ROW,07-02-2025,Ground Transport,6.7577
ROW,07-02-2025,Industry,11.397
ROW,07-02-2025,International Aviation,1.24954
ROW,07-02-2025,Power,9.05798
ROW,07-02-2025,Residential,5.18871
Russia,07-02-2025,Domestic Aviation,0.0387105
Russia,07-02-2025,Ground Transport,0.67548
Russia,07-02-2025,Industry,0.973699
Russia,07-02-2025,International Aviation,0.00670193
Russia,07-02-2025,Power,3.07343
Russia,07-02-2025,Residential,0.882937
Spain,07-02-2025,Domestic Aviation,0.0179429
Spain,07-02-2025,Ground Transport,0.297535
Spain,07-02-2025,Industry,0.187033
Spain,07-02-2025,International Aviation,0.0213093
Spain,07-02-2025,Power,0.0922319
Spain,07-02-2025,Residential,0.153755
United Kingdom,07-02-2025,Domestic Aviation,0.00962404
United Kingdom,07-02-2025,Ground Transport,0.341486
United Kingdom,07-02-2025,Industry,0.106631
United Kingdom,07-02-2025,International Aviation,0.0390591
United Kingdom,07-02-2025,Power,0.113129
United Kingdom,07-02-2025,Residential,0.366911
United States,07-02-2025,Domestic Aviation,0.457871
United States,07-02-2025,Ground Transport,4.88543
United States,07-02-2025,Industry,2.82706
United States,07-02-2025,International Aviation,0.192543
United States,07-02-2025,Power,4.25444
United States,07-02-2025,Residential,2.16894
WORLD,07-02-2025,Domestic Aviation,1.07063
WORLD,07-02-2025,Ground Transport,19.1732
WORLD,07-02-2025,Industry,29.6629
WORLD,07-02-2025,International Aviation,1.73021
WORLD,07-02-2025,Power,39.3762
WORLD,07-02-2025,Residential,16.9953
Brazil,08-02-2025,Domestic Aviation,0.0311255
Brazil,08-02-2025,Ground Transport,0.400774
Brazil,08-02-2025,Industry,0.459043
Brazil,08-02-2025,International Aviation,0.0103225
Brazil,08-02-2025,Power,0.144807
Brazil,08-02-2025,Residential,0.109
China,08-02-2025,Domestic Aviation,0.232421
China,08-02-2025,Ground Transport,2.36726
China,08-02-2025,Industry,10.0045
China,08-02-2025,International Aviation,0.0516327
China,08-02-2025,Power,15.7843
China,08-02-2025,Residential,4.18579
EU27 & UK,08-02-2025,Domestic Aviation,0.0390947
EU27 & UK,08-02-2025,Ground Transport,2.40186
EU27 & UK,08-02-2025,Industry,1.42355
EU27 & UK,08-02-2025,International Aviation,0.18622
EU27 & UK,08-02-2025,Power,1.93054
EU27 & UK,08-02-2025,Residential,2.95021
France,08-02-2025,Domestic Aviation,0.00528625
France,08-02-2025,Ground Transport,0.32472
France,08-02-2025,Industry,0.132836
France,08-02-2025,International Aviation,0.0223531
France,08-02-2025,Power,0.0632769
France,08-02-2025,Residential,0.362846
Germany,08-02-2025,Domestic Aviation,0.00438383
Germany,08-02-2025,Ground Transport,0.394898
Germany,08-02-2025,Industry,0.272798
Germany,08-02-2025,International Aviation,0.0279293
Germany,08-02-2025,Power,0.636388
Germany,08-02-2025,Residential,0.702851
India,08-02-2025,Domestic Aviation,0.022861
India,08-02-2025,Ground Transport,0.825635
India,08-02-2025,Industry,2.57497
India,08-02-2025,International Aviation,0.017316
India,08-02-2025,Power,4.84083
India,08-02-2025,Residential,0.729023
Italy,08-02-2025,Domestic Aviation,0.00460243
Italy,08-02-2025,Ground Transport,0.246825
Italy,08-02-2025,Industry,0.0325466
Italy,08-02-2025,International Aviation,0.0135632
Italy,08-02-2025,Power,0.0455639
Italy,08-02-2025,Residential,0.35834
Japan,08-02-2025,Domestic Aviation,0.0247621
Japan,08-02-2025,Ground Transport,0.515015
Japan,08-02-2025,Industry,0.652536
Japan,08-02-2025,International Aviation,0.0255563
Japan,08-02-2025,Power,1.22238
Japan,08-02-2025,Residential,0.692234
ROW,08-02-2025,Domestic Aviation,0.189122
ROW,08-02-2025,Ground Transport,6.43452
ROW,08-02-2025,Industry,9.90416
